Date,Open,High,Low,Close,Adj Close,Volume
2019-05-14,37.040001,37.520000,36.599998,36.930000,36.930000,11125100
2019-05-15,36.669998,38.139999,36.639999,37.900002,37.900002,11523100
2019-05-16,38.110001,38.720001,38.049999,38.299999,38.299999,10104400
2019-05-17,37.830002,38.130001,37.470001,37.500000,37.500000,9090300
2019-05-20,37.119999,37.730000,36.919998,37.150002,37.150002,9411900
2019-05-21,37.470001,37.860001,37.330002,37.470001,37.470001,8861400
2019-05-22,37.410000,39.320000,37.240002,38.580002,38.580002,21105400
2019-05-23,38.150002,38.290001,36.799999,37.189999,37.189999,18398800
2019-05-24,37.470001,37.849998,37.270000,37.410000,37.410000,9303900
2019-05-28,37.410000,38.040001,37.230000,37.290001,37.290001,11770300
2019-05-29,37.020000,37.400002,36.520000,36.849998,36.849998,12270300
2019-05-30,37.000000,37.290001,36.599998,37.139999,37.139999,7413100
